"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.520799127E2,4.132343782E1,1.976061881E1,1.110290005E2,1.514550524E2,7.951135890E-2,NaN,3.645227706E-2,2.033614347E0,1.603031008E1,-1.000000000E0
1.530799061E2,4.132343781E1,1.976061888E1,1.110498359E2,1.514758882E2,6.043345856E-2,NaN,3.646164629E-2,2.033639881E0,1.606902461E1,-1.000000000E0
1.540798991E2,4.132343781E1,1.976061899E1,1.111736367E2,1.515996896E2,4.370258780E-2,NaN,3.647911113E-2,2.027882275E0,1.630854705E1,-1.000000000E0
1.550798941E2,4.132343780E1,1.976061920E1,1.111988199E2,1.516248739E2,6.229392516E-2,NaN,3.648258905E-2,2.022239619E0,1.640576880E1,-1.000000000E0
1.560798875E2,4.132343781E1,1.976061924E1,1.114564984E2,1.518825526E2,4.695677333E-2,NaN,3.648593934E-2,2.022265551E0,1.656243504E1,-1.000000000E0
1.570798808E2,4.132343779E1,1.976061928E1,1.115004192E2,1.519264735E2,3.941332922E-2,NaN,3.649079985E-2,2.022226424E0,1.626399600E1,-1.000000000E0
1.580798746E2,4.132343780E1,1.976061933E1,1.114800873E2,1.519061420E2,2.620255112E-2,NaN,3.652029110E-2,2.021805216E0,1.548937980E1,-1.000000000E0
1.590798683E2,4.132343781E1,1.976061969E1,1.112089996E2,1.516350563E2,3.724804910E-2,NaN,3.652142518E-2,2.015848276E0,1.552468437E1,-1.000000000E0
1.600798621E2,4.132343780E1,1.976061969E1,1.111554352E2,1.515814918E2,2.567247952E-2,NaN,3.655229883E-2,2.015714700E0,1.540351218E1,-1.000000000E0
1.610798566E2,4.132343778E1,1.976062006E1,1.112817663E2,1.517078249E2,2.910938542E-2,NaN,3.655380714E-2,2.009696111E0,1.557149199E1,-1.000000000E0
1.620798507E2,4.132343778E1,1.976062007E1,1.113210684E2,1.517471271E2,6.599030111E-3,NaN,3.655565515E-2,2.009677471E0,1.533825270E1,-1.000000000E0
1.630798450E2,4.132343776E1,1.976062008E1,1.113868554E2,1.518129140E2,1.729562987E-2,NaN,3.655839066E-2,2.009442889E0,1.490468584E1,-1.000000000E0
1.640798390E2,4.132343776E1,1.976062005E1,1.115346779E2,1.519607363E2,5.712629809E-2,NaN,3.656069864E-2,2.009417263E0,1.499083282E1,-1.000000000E0
1.650798316E2,4.132343775E1,1.976062007E1,1.117405409E2,1.521665995E2,7.230495334E-2,NaN,3.659303672E-2,2.009345581E0,1.496698568E1,-1.000000000E0
1.660798264E2,4.132343774E1,1.976062046E1,1.116284838E2,1.520545445E2,4.065374365E-2,NaN,3.660877240E-2,2.003390318E0,1.548942873E1,-1.000000000E0
1.670798206E2,4.132343773E1,1.976062065E1,1.112755834E2,1.517016450E2,9.723399499E-2,NaN,3.661180261E-2,2.000000000E0,1.534873376E1,-1.000000000E0
1.680798144E2,4.132343771E1,1.976062062E1,1.113631581E2,1.517892195E2,2.281760518E-2,NaN,3.661974810E-2,2.000014835E0,1.541896887E1,-1.000000000E0
1.690798093E2,4.132343767E1,1.976062054E1,1.115826392E2,1.520087000E2,4.349186157E-2,NaN,3.662429834E-2,2.000040736E0,1.547894096E1,-1.000000000E0
1.700798030E2,4.132343769E1,1.976062049E1,1.113584422E2,1.517845029E2,6.154606819E-2,NaN,3.662821900E-2,2.000000000E0,1.514840425E1,-1.000000000E0
1.710797977E2,4.132343772E1,1.976062052E1,1.110689298E2,1.514949907E2,5.242589640E-2,NaN,3.663029357E-2,2.000000000E0,1.512340173E1,-1.000000000E0
1.720797917E2,4.132343771E1,1.976062050E1,1.110641576E2,1.514902183E2,4.718980301E-2,NaN,3.663360161E-2,2.000000000E0,1.459488662E1,-1.000000000E0
1.730797864E2,4.132343774E1,1.976062051E1,1.110452570E2,1.514713179E2,3.771573535E-2,NaN,3.663797433E-2,2.000025978E0,1.438996761E1,-1.000000000E0
1.740797800E2,4.132343774E1,1.976062046E1,1.113268682E2,1.517529288E2,4.362509294E-2,NaN,3.664857089E-2,2.000051850E0,1.436154358E1,-1.000000000E0
1.750797737E2,4.132343774E1,1.976062059E1,1.112805049E2,1.517065662E2,2.316547208E-2,NaN,3.665032868E-2,2.000000000E0,1.446208053E1,-1.000000000E0
1.760797683E2,4.132343775E1,1.976062057E1,1.111305412E2,1.515566024E2,3.243745543E-2,NaN,3.665364250E-2,2.000026178E0,1.459527162E1,-1.000000000E0
1.770797631E2,4.132343776E1,1.976062053E1,1.110114584E2,1.514375195E2,6.372529113E-2,NaN,3.665581839E-2,2.000052086E0,1.452605198E1,-1.000000000E0
1.780797572E2,4.132343778E1,1.976062053E1,1.109807662E2,1.514068275E2,2.234210403E-2,NaN,3.665716086E-2,2.000000000E0,1.429170191E1,-1.000000000E0
1.790797516E2,4.132343777E1,1.976062053E1,1.110375068E2,1.514635679E2,1.290193927E-2,NaN,3.666320759E-2,2.000025914E0,1.436756550E1,-1.000000000E0
1.800797464E2,4.132343779E1,1.976062059E1,1.109390228E2,1.513650844E2,8.324055375E-2,NaN,3.666733925E-2,2.000000000E0,1.458396369E1,-1.000000000E0
1.810797399E2,4.132343779E1,1.976062064E1,1.108621375E2,1.512881993E2,3.699964917E-2,NaN,3.666954753E-2,2.000000000E0,1.474880183E1,-1.000000000E0
1.820797340E2,4.132343777E1,1.976062062E1,1.110284234E2,1.514544851E2,1.543714131E-1,NaN,"",2.138668872E0,1.469247532E1,-1.000000000E0
1.830797288E2,4.132343776E1,1.976062068E1,1.111894743E2,1.516155362E2,2.738502507E-1,NaN,"",2.131023701E0,1.347335450E1,-1.000000000E0
