"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.810030413E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528943789E-2,2.497034732E0,4.029364438E0,-1.000000000E0
2.909395862E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528943974E-2,2.497053099E0,4.029364438E0,-1.000000000E0
3.009363329E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528944159E-2,2.497071759E0,4.029364438E0,-1.000000000E0
3.109315336E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528944343E-2,2.497090410E0,4.029364438E0,-1.000000000E0
3.209257627E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528944529E-2,2.497108976E0,4.029364438E0,-1.000000000E0
3.309417474E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.528944714E-2,2.497127702E0,4.029364438E0,-1.000000000E0
3.409279823E1,4.132343663E1,1.976062204E1,1.022512093E2,1.426772741E2,0.000000000E0,NaN,3.529692605E-2,2.497146266E0,4.029364438E0,-1.000000000E0
3.509354651E1,4.132343669E1,1.976062198E1,1.114110700E2,1.518371347E2,7.094258420E-2,NaN,3.530175795E-2,2.491279164E0,1.600105930E1,-1.000000000E0
3.609988594E1,4.132343672E1,1.976062195E1,1.114574450E2,1.518835097E2,6.015225966E-2,NaN,3.530511792E-2,2.487458717E0,1.355038330E1,-1.000000000E0
3.709499931E1,4.132343674E1,1.976062192E1,1.114584831E2,1.518845476E2,6.998048918E-2,NaN,3.532715737E-2,2.487478725E0,1.392394910E1,-1.000000000E0
3.809352338E1,4.132343667E1,1.976062216E1,1.115825860E2,1.520086516E2,7.870436772E-2,NaN,3.533187963E-2,2.468479843E0,1.417476790E1,-1.000000000E0
3.909418941E1,4.132343667E1,1.976062211E1,1.115082317E2,1.519342971E2,4.127695305E-2,NaN,3.533396938E-2,2.464245842E0,1.217580067E1,-1.000000000E0
4.009956419E1,4.132343669E1,1.976062212E1,1.114654955E2,1.518915609E2,5.274088338E-2,NaN,3.533567193E-2,2.464087473E0,1.198010001E1,-1.000000000E0
4.109446955E1,4.132343668E1,1.976062213E1,1.114336885E2,1.518597540E2,5.344671208E-2,NaN,3.534075405E-2,2.464107738E0,1.168336404E1,-1.000000000E0
4.209376705E1,4.132343663E1,1.976062212E1,1.114363793E2,1.518624445E2,3.410389731E-2,NaN,3.534527599E-2,2.462956839E0,1.124272038E1,-1.000000000E0
4.309378016E1,4.132343666E1,1.976062209E1,1.113069682E2,1.517330334E2,5.561213047E-2,NaN,3.537165546E-2,2.461439555E0,1.060972622E1,-1.000000000E0
4.410000145E1,4.132343661E1,1.976062240E1,1.112185668E2,1.516446335E2,2.095066428E-2,NaN,3.537968136E-2,2.441000510E0,9.888962485E0,-1.000000000E0
4.509514689E1,4.132343654E1,1.976062242E1,1.113313616E2,1.517574281E2,4.551780363E-2,NaN,3.538833207E-2,2.441001295E0,9.790057651E0,-1.000000000E0
4.609406841E1,4.132343655E1,1.976062232E1,1.112453597E2,1.516714256E2,4.741919370E-2,NaN,3.539464695E-2,2.424597400E0,1.009594693E1,-1.000000000E0
4.709313846E1,4.132343651E1,1.976062226E1,1.112843268E2,1.517103923E2,3.428276360E-2,NaN,3.539661004E-2,2.424618090E0,1.020427661E1,-1.000000000E0
4.810042584E1,4.132343650E1,1.976062228E1,1.112865619E2,1.517126274E2,1.873024125E-2,NaN,3.540188200E-2,2.423885464E0,1.001311854E1,-1.000000000E0
4.909340203E1,4.132343654E1,1.976062225E1,1.111689309E2,1.515949965E2,3.530659013E-2,NaN,3.541051686E-2,2.423905986E0,9.984831381E0,-1.000000000E0
5.009393096E1,4.132343650E1,1.976062234E1,1.113118070E2,1.517378729E2,1.017404768E-1,NaN,3.541462604E-2,2.423926714E0,9.970933729E0,-1.000000000E0
5.109407508E1,4.132343649E1,1.976062229E1,1.112933634E2,1.517194290E2,1.719250442E-2,NaN,3.542009973E-2,2.423692696E0,9.858201466E0,-1.000000000E0
5.210077190E1,4.132343646E1,1.976062233E1,1.112157367E2,1.516418023E2,1.133448062E-1,NaN,3.542328591E-2,2.423574312E0,9.659797148E0,-1.000000000E0
5.309380209E1,4.132343644E1,1.976062237E1,1.110969831E2,1.515230489E2,7.368613598E-2,NaN,3.543032308E-2,2.423594839E0,9.502594137E0,-1.000000000E0
5.409358156E1,4.132343642E1,1.976062229E1,1.110594516E2,1.514855169E2,1.489237383E-2,NaN,3.543794707E-2,2.406876017E0,9.554721809E0,-1.000000000E0
5.509446359E1,4.132343637E1,1.976062223E1,1.111038264E2,1.515298912E2,7.213577574E-2,NaN,3.544262105E-2,2.406896921E0,9.503071359E0,-1.000000000E0
5.609947777E1,4.132343641E1,1.976062222E1,1.110692272E2,1.514952921E2,9.233228833E-3,NaN,3.545967806E-2,2.406918088E0,9.479387414E0,-1.000000000E0
5.709417641E1,4.132343641E1,1.976062201E1,1.111008371E2,1.515269008E2,1.109954810E-1,NaN,3.547417982E-2,2.390677537E0,9.463984474E0,-1.000000000E0
