"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.425961667E-1,2.927774048E1,-1.606848145E1,3.917977142E1,5.148239187E1
7.525281667E-1,2.960700989E1,-1.606719971E1,3.924110794E1,5.171648183E1
7.624601667E-1,2.946255493E1,-1.591677094E1,3.925081635E1,5.159469279E1
7.723911667E-1,2.981600189E1,-1.597064972E1,3.928871536E1,5.184263473E1
7.823231667E-1,2.947042084E1,-1.607647705E1,3.944659424E1,5.179761207E1
7.922551667E-1,2.941508484E1,-1.599664307E1,3.939036179E1,5.169855324E1
8.021861667E-1,2.948352051E1,-1.577668762E1,3.924629974E1,5.156019683E1
8.121181667E-1,2.958672333E1,-1.568872070E1,3.946408463E1,5.175832426E1
8.220501667E-1,2.948912048E1,-1.601309204E1,3.916270828E1,5.157271627E1
8.319811667E-1,2.964801025E1,-1.612640381E1,3.963097382E1,5.205458191E1
8.419131667E-1,2.947914886E1,-1.594844818E1,3.959696960E1,5.187767554E1
8.518441667E-1,2.982327271E1,-1.592187500E1,3.998389435E1,5.236072484E1
8.617761667E-1,2.956755829E1,-1.591007233E1,3.962931824E1,5.194086800E1
8.717081667E-1,2.962599945E1,-1.609505463E1,3.923097992E1,5.172833278E1
8.816391667E-1,2.984618378E1,-1.587274933E1,3.958744049E1,5.205674118E1
8.915711667E-1,2.992887878E1,-1.581968689E1,3.967566299E1,5.215513889E1
9.015031667E-1,2.953621674E1,-1.561341095E1,3.967635345E1,5.186887047E1
9.114341667E-1,2.950122833E1,-1.575447083E1,3.981046677E1,5.199422168E1
9.213661667E-1,2.948220825E1,-1.556214905E1,3.938489532E1,5.159991343E1
9.312981667E-1,3.000674438E1,-1.575583649E1,3.941796875E1,5.198487619E1
9.412291667E-1,2.972042084E1,-1.578736115E1,3.944197083E1,5.184798211E1
9.511611667E-1,2.967366028E1,-1.618278503E1,3.926214600E1,5.180660917E1
9.610921667E-1,2.944577789E1,-1.626459503E1,3.909088898E1,5.157216777E1
9.710241667E-1,2.971456909E1,-1.584605408E1,3.935492706E1,5.179636406E1
9.809561667E-1,2.938979340E1,-1.576467896E1,3.945347595E1,5.166102809E1
9.908871667E-1,2.968273926E1,-1.629581451E1,3.965747070E1,5.214722968E1
1.000819167E0,2.927897644E1,-1.642816925E1,3.950222778E1,5.184177086E1
1.010751167E0,2.972247314E1,-1.621511078E1,3.996298599E1,5.237743290E1
1.020682167E0,2.947676849E1,-1.608209229E1,3.958043671E1,5.190495682E1
1.030614167E0,2.945516968E1,-1.618972015E1,4.000120544E1,5.224758843E1
1.040546167E0,2.908130646E1,-1.610797882E1,3.941264343E1,5.156108833E1
1.050477167E0,2.951429749E1,-1.613666534E1,3.955623627E1,5.192476819E1
1.060409167E0,2.926784515E1,-1.585449982E1,3.941903305E1,5.159294614E1
1.070340167E0,2.954672241E1,-1.599482727E1,3.974127197E1,5.204048427E1
1.080272167E0,2.924025726E1,-1.593818665E1,3.937603760E1,5.157025087E1
1.090204167E0,2.937147522E1,-1.596916199E1,3.956173706E1,5.179603006E1
1.100135167E0,2.946974945E1,-1.574991608E1,3.932684326E1,5.160548992E1
1.110067167E0,2.968711090E1,-1.589924622E1,3.973726654E1,5.208801144E1
1.119999167E0,2.917748260E1,-1.596608734E1,3.984854507E1,5.190518260E1
1.129930167E0,2.957228851E1,-1.600207520E1,3.998716736E1,5.224519319E1
1.139862167E0,2.916294098E1,-1.605061340E1,3.925726318E1,5.147069098E1
