"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.516076667E-1,1.205935669E1,3.107220459E1,-2.114409637E1,3.947129075E1
6.615376667E-1,1.224816132E1,3.109320068E1,-2.103389740E1,3.948707921E1
6.714676667E-1,1.214795685E1,3.093658447E1,-2.098390198E1,3.930609694E1
6.813986667E-1,1.228961182E1,3.113423538E1,-2.119329834E1,3.961730766E1
6.913286667E-1,1.237092590E1,3.103423691E1,-2.089194489E1,3.940351544E1
7.012586667E-1,1.212284851E1,3.097734070E1,-2.114818573E1,3.941833143E1
7.111886667E-1,1.240784454E1,3.115720749E1,-2.110824585E1,3.962681198E1
7.211196667E-1,1.210102081E1,3.126007843E1,-2.112979126E1,3.962442791E1
7.310496667E-1,1.208155060E1,3.108989716E1,-2.127195740E1,3.956060846E1
7.409796667E-1,1.205062866E1,3.109930801E1,-2.104869080E1,3.943896543E1
7.509096667E-1,1.235772705E1,3.112718964E1,-2.133081055E1,3.970665978E1
7.608406667E-1,1.227051544E1,3.110747528E1,-2.088806152E1,3.942780341E1
7.707706667E-1,1.225643921E1,3.092025375E1,-2.092588043E1,3.929599046E1
7.807006667E-1,1.208065796E1,3.085855484E1,-2.115589905E1,3.931621508E1
7.906316667E-1,1.235671997E1,3.080525589E1,-2.113472748E1,3.934881224E1
8.005616667E-1,1.202943420E1,3.077656174E1,-2.112000275E1,3.921681471E1
8.104916667E-1,1.234136963E1,3.096842957E1,-2.126081848E1,3.953954270E1
8.204216667E-1,1.212909698E1,3.082965088E1,-2.112663269E1,3.929270894E1
8.303526667E-1,1.225550842E1,3.104801941E1,-2.135514069E1,3.962598932E1
8.402826667E-1,1.206493378E1,3.091540527E1,-2.156673431E1,3.957838980E1
8.502126667E-1,1.247367859E1,3.102692795E1,-2.163148499E1,3.982692629E1
8.601426667E-1,1.204329681E1,3.086124420E1,-2.138484192E1,3.943055739E1
8.700736667E-1,1.237130737E1,3.089148331E1,-2.155252075E1,3.964648960E1
