"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.480245417E-1,-6.054695129E0,-1.848122406E1,-4.305798340E1,4.724621583E1
7.579555417E-1,-6.108932495E0,-1.851726532E1,-4.333907318E1,4.752350403E1
7.678865417E-1,-6.162059784E0,-1.835376740E1,-4.321678925E1,4.735528092E1
7.778175417E-1,-6.287761688E0,-1.863934326E1,-4.307402039E1,4.735327123E1
7.877485417E-1,-6.421527863E0,-1.854205322E1,-4.295440674E1,4.722419736E1
7.976795417E-1,-6.494804382E0,-1.852837372E1,-4.318318939E1,4.743702101E1
8.076105417E-1,-6.378849030E0,-1.854996490E1,-4.303137207E1,4.729154148E1
8.175415417E-1,-6.353729248E0,-1.860150909E1,-4.292046356E1,4.720754398E1
8.274725417E-1,-6.643188477E0,-1.845750427E1,-4.339253998E1,4.762062518E1
8.374035417E-1,-6.360015869E0,-1.857555389E1,-4.318680573E1,4.744050161E1
8.473345417E-1,-6.382369995E0,-1.842007446E1,-4.323537445E1,4.742711665E1
8.572655417E-1,-6.429569244E0,-1.850061035E1,-4.317578125E1,4.741054767E1
8.671965417E-1,-6.284786224E0,-1.819462585E1,-4.297913361E1,4.709298115E1
8.771275417E-1,-6.147998810E0,-1.836040497E1,-4.304066467E1,4.719535121E1
8.870585417E-1,-6.173900604E0,-1.841704559E1,-4.305735016E1,4.723600343E1
8.969895417E-1,-6.149768829E0,-1.849815369E1,-4.319289398E1,4.738805163E1
9.069205417E-1,-6.286411285E0,-1.850184631E1,-4.318967438E1,4.740448562E1
9.168515417E-1,-6.481075287E0,-1.873905945E1,-4.321792603E1,4.754940395E1
9.267825417E-1,-6.350742340E0,-1.843661499E1,-4.312346649E1,4.732730779E1
9.367135417E-1,-6.295604706E0,-1.840219116E1,-4.345053101E1,4.760487289E1
9.466445417E-1,-6.107383728E0,-1.847477722E1,-4.319458771E1,4.737499273E1
9.565765417E-1,-6.228012085E0,-1.837203217E1,-4.332399750E1,4.746881565E1
9.665075417E-1,-6.296672821E0,-1.805269623E1,-4.295468903E1,4.701758436E1
9.764385417E-1,-6.376438141E0,-1.842518616E1,-4.292557526E1,4.714606515E1
9.863695417E-1,-6.282752991E0,-1.823849487E1,-4.293380737E1,4.706832795E1
9.963005417E-1,-6.419372559E0,-1.837711334E1,-4.296065521E1,4.716507750E1
1.006231542E0,-6.168521881E0,-1.795423889E1,-4.303368378E1,4.703512832E1
1.016162542E0,-6.234756470E0,-1.853327942E1,-4.328832245E1,4.749982626E1
1.026093542E0,-6.066768646E0,-1.818660736E1,-4.295596313E1,4.704012264E1
1.036024542E0,-6.076038361E0,-1.853617859E1,-4.293950653E1,4.716258453E1
1.045955542E0,-6.313293457E0,-1.833586121E1,-4.271598816E1,4.691180155E1
1.055886542E0,-6.293392181E0,-1.850437927E1,-4.288636780E1,4.713023849E1
1.065817542E0,-6.175098419E0,-1.839254761E1,-4.301126099E1,4.718459727E1
1.075748542E0,-6.426666260E0,-1.860671234E1,-4.310012054E1,4.738282573E1
1.085679542E0,-6.254009247E0,-1.841012573E1,-4.290596771E1,4.710591711E1
1.095610542E0,-6.451339722E0,-1.864235687E1,-4.320063019E1,4.749159613E1
1.105541542E0,-6.293125153E0,-1.832347870E1,-4.293577576E1,4.710450229E1
1.115472542E0,-6.248432159E0,-1.830530548E1,-4.294694519E1,4.710166891E1
1.125403542E0,-6.102931976E0,-1.808132935E1,-4.288776398E1,4.694188480E1
1.135334542E0,-6.361011505E0,-1.836629486E1,-4.294637299E1,4.713994280E1
1.145265542E0,-6.201145172E0,-1.828662872E1,-4.256815338E1,4.674294250E1
1.155196542E0,-6.241161346E0,-1.862352753E1,-4.283222961E1,4.712099072E1
1.165127542E0,-6.271804810E0,-1.809390259E1,-4.283197021E1,4.691804044E1
1.175058542E0,-6.278125763E0,-1.842449951E1,-4.298042297E1,4.718255826E1
1.184989542E0,-6.198535919E0,-1.849972534E1,-4.315642548E1,4.736178570E1
1.194920542E0,-6.207996368E0,-1.862458801E1,-4.333600616E1,4.757545510E1
1.204851542E0,-6.327217102E0,-1.853591156E1,-4.316661072E1,4.740221487E1
1.214782542E0,-6.317409515E0,-1.845909882E1,-4.348646545E1,4.766257095E1
1.224713542E0,-6.185916901E0,-1.850527191E1,-4.351867676E1,4.769261875E1
1.234644542E0,-6.360187531E0,-1.849131012E1,-4.298422241E1,4.722312899E1
1.244575542E0,-6.278152466E0,-1.819100189E1,-4.297750092E1,4.708920612E1
1.254506542E0,-6.390750885E0,-1.846193695E1,-4.348475647E1,4.767188750E1
1.264437542E0,-6.273227692E0,-1.835108185E1,-4.296602631E1,4.714016342E1
1.274368542E0,-6.309761047E0,-1.858593750E1,-4.314703369E1,4.740165265E1
1.284299542E0,-6.306098938E0,-1.846813965E1,-4.289555359E1,4.712608178E1
1.294230542E0,-6.276924133E0,-1.865733337E1,-4.290444183E1,4.720473487E1
1.304162542E0,-6.387214661E0,-1.835150909E1,-4.308022308E1,4.725970819E1
1.314093542E0,-6.159446716E0,-1.847812653E1,-4.314397430E1,4.733690381E1
1.324024542E0,-6.360862732E0,-1.834429932E1,-4.282646179E1,4.702211949E1
1.333955542E0,-6.401496887E0,-1.852070618E1,-4.308802795E1,4.733470051E1
1.343886542E0,-6.202995300E0,-1.847551727E1,-4.311988831E1,4.731962232E1
1.353817542E0,-6.481807709E0,-1.868858337E1,-4.296179962E1,4.729686254E1
1.363748542E0,-6.148239136E0,-1.854449463E1,-4.292696381E1,4.716379276E1
1.373679542E0,-6.091423035E0,-1.816199493E1,-4.300928497E1,4.708250300E1
1.383610542E0,-6.244232178E0,-1.825131226E1,-4.299349213E1,4.712261877E1
1.393541542E0,-6.281291962E0,-1.840032959E1,-4.284752655E1,4.705249504E1
1.403472542E0,-6.241638184E0,-1.803923035E1,-4.309046173E1,4.712918173E1
1.413403542E0,-6.114151001E0,-1.831768036E1,-4.303787994E1,4.717180690E1
1.423334542E0,-6.217895508E0,-1.849665070E1,-4.307727814E1,4.729101609E1
1.433265542E0,-6.252117157E0,-1.850949860E1,-4.328889465E1,4.749335646E1
1.443196542E0,-6.323837280E0,-1.833306122E1,-4.309774017E1,4.725999640E1
1.453127542E0,-6.249259949E0,-1.831843567E1,-4.336238861E1,4.748594615E1
1.463058542E0,-6.289470673E0,-1.830142212E1,-4.307794952E1,4.722509109E1
1.472989542E0,-6.198074341E0,-1.856803131E1,-4.308458710E1,4.732303411E1
1.482920542E0,-6.132457733E0,-1.834602356E1,-4.274122620E1,4.691477417E1
1.492851542E0,-6.262897491E0,-1.838305664E1,-4.316728210E1,4.733471137E1
1.502782542E0,-6.240013123E0,-1.838140106E1,-4.308379364E1,4.725491449E1
1.512713542E0,-6.212936401E0,-1.843791199E1,-4.323436737E1,4.741062855E1
1.522644542E0,-6.453144073E0,-1.843107605E1,-4.315193939E1,4.736493963E1
1.532575542E0,-6.301769257E0,-1.851891327E1,-4.292329407E1,4.717066480E1
1.542506542E0,-6.162746429E0,-1.844179535E1,-4.301747131E1,4.720786055E1
1.552437542E0,-6.249237061E0,-1.844338989E1,-4.290991974E1,4.712189307E1
1.562368292E0,-6.111282349E0,-1.869236755E1,-4.280825806E1,4.710943997E1
1.572299292E0,-6.425445557E0,-1.840550232E1,-4.264294434E1,4.688784030E1
1.582230292E0,-6.249500275E0,-1.830972290E1,-4.301276398E1,4.716354600E1
1.592161292E0,-6.469356537E0,-1.817635345E1,-4.331037903E1,4.741330331E1
1.602092292E0,-6.310543060E0,-1.835104370E1,-4.361302185E1,4.773551543E1
1.612024292E0,-6.257022858E0,-1.831144714E1,-4.338497925E1,4.750490349E1
1.621955292E0,-6.290107727E0,-1.835673523E1,-4.316163635E1,4.732295464E1
1.631886292E0,-6.275421143E0,-1.816180420E1,-4.323445129E1,4.731225868E1
1.641817292E0,-6.283695221E0,-1.832506561E1,-4.344227600E1,4.756599835E1
1.651748292E0,-6.191299438E0,-1.836959076E1,-4.333609009E1,4.747410618E1
1.661679292E0,-6.133827209E0,-1.856040955E1,-4.299282837E1,4.722812647E1
1.671610292E0,-6.126770020E0,-1.825199127E1,-4.302932739E1,4.714016877E1
1.681541292E0,-6.279071808E0,-1.845807648E1,-4.332136536E1,4.750650510E1
1.691472292E0,-6.358974457E0,-1.810342407E1,-4.333924866E1,4.739684582E1
1.701403292E0,-6.343246460E0,-1.832943726E1,-4.331365967E1,4.745817274E1
1.711334292E0,-6.023418427E0,-1.811918640E1,-4.322464752E1,4.725417060E1
1.721265292E0,-6.216175079E0,-1.830674744E1,-4.340007019E1,4.751151362E1
1.731196292E0,-6.287441254E0,-1.823054504E1,-4.339447784E1,4.748647594E1
1.741127292E0,-6.335113525E0,-1.845615387E1,-4.305017853E1,4.726606764E1
1.751058292E0,-6.255119324E0,-1.827735138E1,-4.327455902E1,4.739066944E1
1.760989292E0,-6.505973816E0,-1.873783112E1,-4.339170837E1,4.771031718E1
1.770920292E0,-6.421676636E0,-1.824427795E1,-4.328043365E1,4.740556451E1
1.780851292E0,-6.364379883E0,-1.836468506E1,-4.313913727E1,4.731545364E1
1.790782292E0,-6.058906555E0,-1.821709442E1,-4.274433136E1,4.685777141E1
1.800713292E0,-6.174446106E0,-1.846916962E1,-4.302773285E1,4.722943791E1
1.810644292E0,-6.089591980E0,-1.814173126E1,-4.318221283E1,4.723249992E1
1.820575292E0,-6.218536377E0,-1.864765167E1,-4.314396667E1,4.741104268E1
1.830506292E0,-6.025192261E0,-1.843608093E1,-4.316750336E1,4.732468033E1
1.840437292E0,-6.163322449E0,-1.856132507E1,-4.292919922E1,4.717441550E1
1.850368292E0,-6.197692871E0,-1.822119141E1,-4.289429474E1,4.701429287E1
1.860299292E0,-6.414081573E0,-1.842866516E1,-4.305854797E1,4.727361522E1
1.870230292E0,-6.187942505E0,-1.802214813E1,-4.303243256E1,4.706249789E1
1.880161292E0,-6.218311310E0,-1.850766754E1,-4.308158875E1,4.729930699E1
1.890092292E0,-6.287067413E0,-1.810340118E1,-4.302531433E1,4.710029750E1
1.900023292E0,-6.445400238E0,-1.820608521E1,-4.320334625E1,4.732371340E1
1.909954292E0,-6.099170685E0,-1.822483063E1,-4.335356903E1,4.742231840E1
1.919885292E0,-6.132396698E0,-1.842098999E1,-4.314426422E1,4.731138020E1
1.929817292E0,-5.828693390E0,-1.807099915E1,-4.296288300E1,4.697173610E1
1.939748292E0,-5.984188080E0,-1.839166260E1,-4.283750916E1,4.700123350E1
1.949679292E0,-5.873600006E0,-1.830706787E1,-4.293176270E1,4.704023979E1
1.959610292E0,-5.958580017E0,-1.875866699E1,-4.307096863E1,4.735504832E1
1.969541292E0,-5.933837891E0,-1.843676758E1,-4.320327759E1,4.734604551E1
1.979472292E0,-6.191127777E0,-1.863065338E1,-4.312241364E1,4.738115518E1
1.989403292E0,-6.250938416E0,-1.836768341E1,-4.259117889E1,4.680229209E1
1.999334292E0,-6.430007935E0,-1.854196930E1,-4.264628601E1,4.694523765E1
2.009265292E0,-6.304855347E0,-1.821156311E1,-4.294944000E1,4.707511687E1
2.019196292E0,-6.303653717E0,-1.836929321E1,-4.301748657E1,4.719821113E1
2.029127292E0,-6.286075592E0,-1.850581360E1,-4.308032227E1,4.730638487E1
2.039058292E0,-6.384086609E0,-1.842813873E1,-4.304167175E1,4.725397725E1
2.048989292E0,-6.226684570E0,-1.803387451E1,-4.292212677E1,4.697128056E1
2.058920292E0,-6.277008057E0,-1.837416077E1,-4.280234528E1,4.700054654E1
2.068851292E0,-6.010559082E0,-1.808469391E1,-4.261217499E1,4.667955046E1
2.078782292E0,-6.214733124E0,-1.869700623E1,-4.258298492E1,4.692026806E1
2.088713292E0,-6.203624725E0,-1.833277893E1,-4.286248779E1,4.702944400E1
2.098644292E0,-6.229160309E0,-1.829506683E1,-4.264311218E1,4.681823283E1
2.108575292E0,-5.946510315E0,-1.832127380E1,-4.275703430E1,4.689556526E1
2.118506292E0,-6.257404327E0,-1.845893860E1,-4.301380920E1,4.722367315E1
2.128437292E0,-6.157630920E0,-1.830916595E1,-4.299279022E1,4.713302438E1
2.138368292E0,-6.221080780E0,-1.853450775E1,-4.339542389E1,4.759614100E1
2.148299292E0,-6.144573212E0,-1.813217926E1,-4.313031006E1,4.718850867E1
2.158230292E0,-6.153514862E0,-1.836933899E1,-4.339388275E1,4.752186255E1
2.168161292E0,-6.260429382E0,-1.827434540E1,-4.316557312E1,4.729071133E1
2.178092292E0,-6.387222290E0,-1.845028687E1,-4.328460693E1,4.748438576E1
2.188023292E0,-6.346111298E0,-1.837326050E1,-4.317694855E1,4.735080481E1
2.197954292E0,-6.221824646E0,-1.861747742E1,-4.325968933E1,4.750497120E1
2.207885292E0,-6.099605560E0,-1.838590240E1,-4.305673218E1,4.721365037E1
2.217816292E0,-5.976737976E0,-1.845644379E1,-4.311149597E1,4.727539317E1
2.227747292E0,-6.215026855E0,-1.821854401E1,-4.316249084E1,4.726036945E1
2.237679292E0,-6.237567902E0,-1.821720123E1,-4.345568085E1,4.753072556E1
2.247610292E0,-6.299053192E0,-1.844085693E1,-4.303308868E1,4.723970784E1
2.257541292E0,-6.263317108E0,-1.851359558E1,-4.318687439E1,4.740346487E1
2.267472292E0,-6.412857056E0,-1.842036438E1,-4.302594757E1,4.724051994E1
2.277403292E0,-6.406154633E0,-1.858095551E1,-4.278088379E1,4.707966379E1
2.287334292E0,-6.261749268E0,-1.845983887E1,-4.280585480E1,4.703526719E1
2.297265292E0,-6.292510986E0,-1.841898346E1,-4.287804413E1,4.708907851E1
2.307196292E0,-6.222801208E0,-1.870512390E1,-4.286515045E1,4.718078039E1
2.317127292E0,-6.455184937E0,-1.857412720E1,-4.296711731E1,4.725294471E1
2.327058292E0,-6.351558685E0,-1.850942993E1,-4.306895447E1,4.730619550E1
2.336989292E0,-6.435646057E0,-1.849272156E1,-4.317648315E1,4.740893363E1
