"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.384669167E-1,1.236130524E1,-1.605107880E1,-5.037953186E1,5.430042567E1
7.483999167E-1,1.244705200E1,-1.540467834E1,-5.038780212E1,5.414022369E1
7.583319167E-1,1.239292145E1,-1.550009155E1,-5.021970367E1,5.399866644E1
7.682649167E-1,1.219183350E1,-1.544328308E1,-5.022834015E1,5.394461929E1
7.781969167E-1,1.225536346E1,-1.584100342E1,-5.061082458E1,5.442965082E1
7.881299167E-1,1.229166412E1,-1.583270264E1,-5.031775665E1,5.416305119E1
7.980619167E-1,1.232144928E1,-1.595351410E1,-5.045343018E1,5.433121884E1
8.079949167E-1,1.254120636E1,-1.593303680E1,-5.020967865E1,5.414937995E1
8.179269167E-1,1.232696533E1,-1.607794952E1,-5.007826233E1,5.402117079E1
8.278589167E-1,1.238407898E1,-1.585050201E1,-5.040731812E1,5.427247503E1
8.377919167E-1,1.235948181E1,-1.597229004E1,-5.036691284E1,5.426506011E1
8.477239167E-1,1.223368835E1,-1.563892365E1,-5.002271271E1,5.381924238E1
8.576569167E-1,1.211570740E1,-1.576166534E1,-5.031567383E1,5.410071620E1
8.675889167E-1,1.188812256E1,-1.587974548E1,-5.012239838E1,5.390499600E1
8.775219167E-1,1.174271393E1,-1.575622559E1,-5.026559448E1,5.397017661E1
8.874539167E-1,1.212602234E1,-1.590779114E1,-4.970594025E1,5.357964849E1
8.973869167E-1,1.222657776E1,-1.579720306E1,-4.982774353E1,5.368281712E1
9.073189167E-1,1.235472870E1,-1.590991974E1,-5.016857910E1,5.406155007E1
9.172519167E-1,1.249525452E1,-1.591748810E1,-5.052438354E1,5.442619907E1
9.271839167E-1,1.265414429E1,-1.603433228E1,-5.040506744E1,5.438656087E1
9.371159167E-1,1.257761383E1,-1.610689545E1,-5.023880768E1,5.423620790E1
9.470489167E-1,1.238278198E1,-1.600651550E1,-5.002857971E1,5.396666208E1
9.569809167E-1,1.227620697E1,-1.599758148E1,-5.009749603E1,5.400358303E1
9.669141250E-1,1.212915039E1,-1.596324158E1,-5.021986389E1,5.407380235E1
9.768461250E-1,1.226725769E1,-1.591654968E1,-5.027801514E1,5.414518419E1
9.867791250E-1,1.263314056E1,-1.584946442E1,-5.003222656E1,5.398171410E1
9.967111250E-1,1.243537140E1,-1.555410004E1,-5.012198639E1,5.393312534E1
1.006644125E0,1.251992035E1,-1.593688202E1,-4.998220825E1,5.393471754E1
1.016576125E0,1.238368225E1,-1.582067871E1,-4.993318176E1,5.382352740E1
1.026508125E0,1.219659424E1,-1.588269043E1,-5.007723236E1,5.393279121E1
1.036441125E0,1.239673615E1,-1.567676544E1,-5.033896637E1,5.416134763E1
1.046373125E0,1.230416107E1,-1.594212341E1,-5.033250427E1,5.421166540E1
1.056306125E0,1.227183533E1,-1.575831604E1,-5.023458099E1,5.405955599E1
1.066238125E0,1.228136444E1,-1.590717316E1,-5.022483063E1,5.409624462E1
1.076171125E0,1.236351013E1,-1.571395111E1,-5.021807098E1,5.405219048E1
1.086103125E0,1.239969635E1,-1.590517426E1,-5.030401611E1,5.419613524E1
1.096036125E0,1.245626831E1,-1.580886078E1,-5.052397156E1,5.438520388E1
1.105968125E0,1.233078766E1,-1.604020691E1,-5.059853363E1,5.449356079E1
1.115900125E0,1.254082489E1,-1.582379150E1,-5.047837830E1,5.436663813E1
1.125833125E0,1.260884857E1,-1.613836670E1,-5.022509766E1,5.424011778E1
1.135765125E0,1.243499756E1,-1.557661438E1,-4.983078766E1,5.366905513E1
1.145698125E0,1.248139954E1,-1.579087067E1,-4.997535706E1,5.387646280E1
1.155630125E0,1.250229645E1,-1.581874847E1,-5.030886078E1,5.419890859E1
1.165563125E0,1.249247742E1,-1.608181000E1,-5.023448181E1,5.420507142E1
1.175495125E0,1.246154022E1,-1.564258575E1,-5.013062286E1,5.397276927E1
1.185428125E0,1.243688965E1,-1.597155762E1,-5.041050720E1,5.432297961E1
1.195360125E0,1.258419037E1,-1.559687042E1,-5.001762390E1,5.388308561E1
1.205292125E0,1.247952271E1,-1.611807251E1,-5.029372406E1,5.426775680E1
1.215225125E0,1.249766541E1,-1.578426361E1,-5.020365906E1,5.409012850E1
1.225157125E0,1.259524536E1,-1.579469299E1,-4.997771454E1,5.390625644E1
1.235090125E0,1.244779968E1,-1.601220703E1,-5.025399017E1,5.419226900E1
1.245022125E0,1.232756042E1,-1.585845184E1,-5.013562775E1,5.400963257E1
1.254955125E0,1.228674316E1,-1.582484436E1,-5.029479218E1,5.413830323E1
1.264887125E0,1.233538818E1,-1.577190399E1,-5.035794830E1,5.419259834E1
1.274820125E0,1.229935455E1,-1.593129730E1,-5.084997559E1,5.468821055E1
1.284752125E0,1.247190094E1,-1.577220917E1,-5.076271820E1,5.460004079E1
1.294684125E0,1.258603668E1,-1.622541046E1,-5.058599854E1,5.459501362E1
1.304617125E0,1.234032440E1,-1.580818176E1,-5.047618866E1,5.431415873E1
1.314549125E0,1.230104065E1,-1.610265350E1,-5.039365387E1,5.431511209E1
1.324482125E0,1.227352142E1,-1.590744019E1,-5.037036133E1,5.422969004E1
1.334414125E0,1.224102020E1,-1.591118622E1,-5.045964813E1,5.430639476E1
1.344347125E0,1.207978821E1,-1.567502594E1,-5.038586426E1,5.413282773E1
1.354279125E0,1.228813934E1,-1.592379761E1,-5.049922943E1,5.435750060E1
1.364212125E0,1.228804779E1,-1.582054901E1,-5.038590240E1,5.422199785E1
1.374144125E0,1.237606049E1,-1.603227234E1,-5.087808228E1,5.476111655E1
1.384076125E0,1.245351410E1,-1.588822937E1,-5.025579834E1,5.415875841E1
1.394009125E0,1.232636261E1,-1.602758026E1,-5.029679108E1,5.420876070E1
1.403941125E0,1.232462311E1,-1.592599487E1,-5.034403229E1,5.422227618E1
1.413874125E0,1.208415222E1,-1.604137421E1,-5.091986084E1,5.473741544E1
1.423806125E0,1.220471191E1,-1.582727814E1,-5.041018677E1,5.422771115E1
1.433739125E0,1.225544739E1,-1.602095032E1,-5.024065399E1,5.413861979E1
1.443671125E0,1.242530060E1,-1.597467041E1,-5.045316315E1,5.436083021E1
1.453604125E0,1.223866272E1,-1.608698273E1,-5.036151123E1,5.426654302E1
1.463536125E0,1.239399719E1,-1.571430206E1,-5.043088531E1,5.425702396E1
1.473468125E0,1.230647278E1,-1.597876740E1,-5.040374756E1,5.428911537E1
1.483401125E0,1.251768494E1,-1.581211090E1,-5.019042206E1,5.409060689E1
1.493333125E0,1.236956787E1,-1.597294617E1,-5.069071198E1,5.456820960E1
1.503266125E0,1.228316498E1,-1.599827576E1,-5.015406036E1,5.405784624E1
1.513198125E0,1.241897583E1,-1.606406403E1,-5.039119720E1,5.432824191E1
1.523131125E0,1.235800171E1,-1.582882690E1,-5.028139496E1,5.414324193E1
1.533063125E0,1.231079102E1,-1.603388977E1,-5.048130798E1,5.437833808E1
1.542996125E0,1.218691254E1,-1.600218201E1,-4.998012543E1,5.387581650E1
1.552928125E0,1.204999542E1,-1.610827637E1,-5.041384888E1,5.427923282E1
1.562860125E0,1.221264648E1,-1.595101166E1,-5.055551147E1,5.440076514E1
1.572793125E0,1.224172974E1,-1.590679169E1,-5.046065521E1,5.430620308E1
1.582725125E0,1.241449738E1,-1.599666595E1,-5.037783813E1,5.429493201E1
1.592658125E0,1.261293030E1,-1.591432953E1,-5.071537781E1,5.462967546E1
1.602590125E0,1.236495972E1,-1.604637909E1,-5.056895447E1,5.447566123E1
1.612523125E0,1.226167297E1,-1.599382782E1,-5.046046448E1,5.433608035E1
1.622455125E0,1.229359436E1,-1.591679382E1,-5.045919037E1,5.431948712E1
1.632388125E0,1.229588318E1,-1.562167358E1,-5.025254822E1,5.404205798E1
1.642320125E0,1.218544769E1,-1.556071472E1,-5.028088379E1,5.402581099E1
1.652252125E0,1.227831268E1,-1.562594604E1,-5.020497131E1,5.399505808E1
1.662185125E0,1.233042145E1,-1.595198822E1,-5.011103058E1,5.401500354E1
1.672117125E0,1.242601013E1,-1.588633728E1,-5.042803192E1,5.431176524E1
1.682050125E0,1.230166626E1,-1.594477844E1,-5.038553619E1,5.426112061E1
1.691982125E0,1.230990601E1,-1.575405121E1,-5.026369476E1,5.409401932E1
1.701915125E0,1.222782898E1,-1.585485840E1,-5.029553986E1,5.413444066E1
1.711847125E0,1.211277771E1,-1.548900604E1,-5.005785370E1,5.378119940E1
1.721780125E0,1.210485077E1,-1.597391510E1,-5.037691498E1,5.421740439E1
1.731712125E0,1.206372833E1,-1.583472443E1,-5.029032135E1,5.408686033E1
1.741644125E0,1.227593231E1,-1.602201080E1,-5.041256714E1,5.430313315E1
1.751577125E0,1.250057983E1,-1.572642517E1,-5.034700012E1,5.420706011E1
1.761509125E0,1.226358032E1,-1.606472015E1,-5.030100250E1,5.420942251E1
1.771442125E0,1.253226471E1,-1.606693268E1,-5.046474457E1,5.442328940E1
1.781374125E0,1.255949402E1,-1.620532227E1,-5.038466644E1,5.439639668E1
1.791307125E0,1.260979462E1,-1.620527649E1,-5.054724884E1,5.455861318E1
1.801239125E0,1.252308655E1,-1.642741394E1,-5.024621582E1,5.432651130E1
1.811172125E0,1.237382507E1,-1.603873444E1,-5.036922455E1,5.429006659E1
1.821104125E0,1.234985352E1,-1.613514709E1,-5.042230988E1,5.436240601E1
1.831036125E0,1.256707001E1,-1.599246979E1,-5.005992889E1,5.403412643E1
1.840969125E0,1.225695038E1,-1.613448334E1,-5.038334656E1,5.430502735E1
1.850901125E0,1.249893951E1,-1.585994720E1,-4.979066467E1,5.372961663E1
1.860834125E0,1.204367065E1,-1.596222687E1,-5.051329041E1,5.432711291E1
1.870766125E0,1.239112854E1,-1.581915283E1,-5.055930328E1,5.440614682E1
1.880699125E0,1.237047577E1,-1.584463501E1,-5.073775482E1,5.457472761E1
1.890631125E0,1.265226746E1,-1.578509521E1,-5.049137878E1,5.439327563E1
1.900564125E0,1.235756683E1,-1.605905151E1,-5.041010284E1,5.433029599E1
1.910496125E0,1.257405090E1,-1.569500732E1,-5.049777985E1,5.435499775E1
